Rank,Name,Symbol,marketcap,price (USD),country,Sector
141,ArcelorMittal,MT,19974057984,25.68,Luxembourg, Basic Materials
142,Prysmian Group,PRY.MI,19896111291,66.3431,Italy, Industrials
143,EnBW Energie,EBK.DE,19628444559,72.4685,Germany, Utilities
144,Essity,ESSITY-B.ST,19186940856,27.5288,Sweden, Consumer Staples
145,Prada,1913.HK,18991526392,7.42199,Italy, Consumer Discretionary
146,Evolution Gaming,EVO.ST,18789046769,90.9608,Sweden, Consumer Discretionary
147,AerCap,AER,18528182272,97.655,Ireland, Industrials
148,Poste Italiane,PST.MI,18488090862,14.2807,Italy, Industrials
149,PKO Bank Polski,PKO.WA,18479532744,14.7836,Poland, Finance
150,Alfa Laval,ALFA.ST,18312570353,44.3054,Sweden, Industrials
151,MTU Aero Engines,MTX.DE,18294746675,340.235,Germany, Industrials
152,Bolloré,BOL.PA,17728255917,6.26011,France, Industrials
153,ICON plc,ICLR,17523232768,212.25,Ireland, Health Care
154,Terna,TRN.MI,17156726324,8.38779,Italy, Utilities
155,Investment AB Latour,LATO-B.ST,17015410358,26.6149,Sweden, Finance
156,International Consolidated Airlines,BABWF,16785449984,2.96,Spain, Industrials
157,Traton,8TRA.DE,16715194927,33.4304,Germany, Industrials
158,Kerry Group,KRZ.IR,16706428038,95.7619,Ireland, Consumer Staples
159,Dassault Aviation,AM.PA,16642349910,212.768,France, Industrials
160,Symrise,SY1.DE,16060289891,114.903,Germany, Consumer Staples
161,Snam,SRG.MI,15786540779,4.55947,Italy, Utilities
162,Vestas Wind Systems,VWS.CO,15508067996,15.369,Denmark, Industrials
163,EDP Group,EDP.F,15402356916,3.69568,Portugal, Utilities
164,Sartorius,SRT.DE,15278988823,198.857,Germany, Health Care
165,Kingspan Group,KRX.IR,15278582448,84.0073,Ireland, Industrials
166,Leonardo,LDO.MI,15255903824,26.5178,Italy, Industrials
167,PKN Orlen,PKN.WA,15173001819,13.0696,Poland, Energy
168,Carlsberg,CARL-B.CO,15163643059,106.123,Denmark, Consumer Staples
169,KPN,KPN.AS,15152293532,3.87145,Netherlands, Telecommunications
170,UPM-Kymmene,UPM.HE,15131838930,28.3727,Finland, Basic Materials
171,Industrivarden,INDU-A.ST,14901537764,34.5789,Sweden, Finance
172,Amundi,AMUN.PA,14850655796,72.792,France, Finance
173,Genmab,GMAB,14503329792,22.835,Denmark, Health Care
174,Repsol,REP.MC,14374415736,12.4501,Spain, Energy
175,Moncler,MONC.MI,14237968537,52.6151,Italy, Consumer Discretionary
176,Tryg,TRYG.CO,14223837065,23.1185,Denmark, Finance
177,Bureau Veritas,BVI.PA,14015812548,31.252,France, Industrials
178,OTP Bank,OTP.BD,13971079772,52.8369,Hungary, Finance
179,James Hardie Industries,JHX,13773039616,32.065,Ireland, Basic Materials
180,Lifco,LIFCO-B.ST,13749360577,30.2705,Sweden, Industrials
181,ABN AMRO,ABN.AS,13632609287,16.3647,Netherlands, Finance
182,Mediobanca,MB.MI,13617021253,16.4726,Italy, Finance
183,AIB Group (Allied Irish Banks),A5G.IR,13458757873,5.76405,Ireland, Finance
184,Galp Energia,GZ5.F,13293280224,17.1412,Portugal, Energy
185,OMV,OMV.F,13289029846,40.6125,Austria, Energy
186,Fortum,FORTUM.HE,13207865174,14.7202,Finland, Utilities
187,Sodexo,SW.PA,13189750545,89.8307,France, Industrials
188,NN Group,NN.AS,13158530305,48.5496,Netherlands, Finance
189,Nemetschek,NEM.F,13090747314,113.34,Germany, Technology
190,Aptiv,APTV,13060950016,55.57,Ireland, Consumer Discretionary
